structure_id,x,y,z,reference_space_id
159,2650,5325,4465,10
162,10400,4050,5190,10
163,5950,5175,1315,10
164,12550,5400,5640,10
165,8775,5200,5590,10
169,11425,5050,5440,10
17,9075,2375,4590,10
170,7600,3225,3390,10
171,2900,2725,5615,10
173,6250,6925,5140,10
177,11875,5400,5440,10
178,7700,4025,2965,10
180,4475,4475,1740,10
181,6275,5200,5540,10
182305689,5825,1775,2840,10
182305693,5675,1325,2590,10
182305697,5725,1525,2690,10
182305701,5750,1775,2790,10
182305705,5925,1925,2940,10
182305709,6025,2200,3090,10
182305713,6175,2300,3240,10
184,2200,2725,4490,10
186,6975,3250,5215,10
187,4675,4475,2015,10
188,2100,3525,4565,10
189,6550,4800,5590,10
19,5050,2800,5540,10
190,11000,7275,5340,10
194,6575,5975,4415,10
196,1700,3875,4490,10
197,8325,4925,5640,10
2,4925,3350,2740,10
201,6650,1475,2215,10
202,11375,4800,4915,10
203,11925,6225,4690,10
204,1950,3700,4515,10
206,10625,6400,5640,10
207,12650,5025,5615,10
209,11175,4700,4165,10
21,2625,5300,3965,10
210,7925,6200,4740,10
211,4275,1925,5465,10
214,8625,4400,4915,10
215,8050,3225,4390,10
217,10925,4475,4140,10
218,7475,3000,4040,10
22,7450,950,3265,10
222,12200,6700,5665,10
223,7025,7025,5465,10
225,11600,4900,4340,10
226,5325,6300,4690,10
229,11325,6100,3365,10
23,5825,6400,3465,10
230,12125,7100,5640,10
231,9750,4650,5365,10
233,8275,1825,2065,10
234,8650,3600,865,10
235,12425,7075,4515,10
237,12675,5250,5115,10
238,10325,5250,5540,10
239,6350,3500,4490,10
242,4900,4075,5140,10
243,7700,2675,1915,10
246,9050,4525,4290,10
247,7950,2875,1165,10
249,8425,2500,1765,10
250,5325,3075,5115,10
251,7925,2775,915,10
252,7600,2500,1615,10
254,7875,675,4940,10
255,6050,3875,4615,10
257,8275,1100,4065,10
258,4500,4500,5115,10
26,9350,2425,4815,10
260,6075,7175,3615,10
262,6250,4350,3765,10
263,5125,6775,5165,10
266,5250,4575,5090,10
269,10150,2125,2315,10
27,7725,3750,3115,10
271,9475,3800,3890,10
272,5225,6575,5465,10
274,7825,900,4765,10
275,4725,4225,5165,10
278,6700,6025,3340,10
279,7525,1150,4540,10
280,10625,4350,4990,10
281,7675,400,3965,10
286,5975,6825,5515,10
287,5425,5125,5140,10
288,2725,3800,4915,10
289,8350,3800,1040,10
290,6525,5925,4440,10
292,6400,6650,3790,10
294,9050,2375,4640,10
295,7225,5925,2290,10
296,4850,2450,5490,10
298,5300,6650,3990,10
30,6075,6275,5615,10
301,7300,4350,2740,10
302,9250,1400,5015,10
303,6800,5825,2490,10
304,3025,2750,5465,10
305,8775,1625,3215,10
307,11075,6925,5265,10
31,4625,2275,5315,10
310,5375,3800,5240,10
311,7600,5875,2215,10
312782546,7275,900,3640,10
312782550,7250,550,3515,10
312782554,7250,725,3615,10
312782558,7300,900,3565,10
312782562,7300,1025,3715,10
312782566,7350,1200,3740,10
312782570,7400,1325,3740,10
312782574,9075,2150,1765,10
312782578,9150,1950,1515,10
312782582,9150,2050,1640,10
312782586,9075,2100,1740,10
312782590,9050,2250,1840,10
312782594,9000,2375,2015,10
312782598,8950,2450,2065,10
312782604,7800,950,2440,10
312782608,7825,1100,2515,10
312782612,7825,1250,2590,10
312782616,7850,1400,2690,10
312782620,7850,1550,2815,10
312782624,7875,1650,2840,10
312782628,9550,2700,1540,10
312782632,9725,2575,1315,10
312782636,9625,2700,1390,10
312782640,9450,2600,1515,10
312782644,9525,2775,1640,10
312782648,9375,2900,1790,10
312782652,9275,2900,1865,10
313,9275,3050,4790,10
314,6200,4925,1740,10
315,5475,2000,2890,10
318,10850,4925,5390,10
319,7000,6400,2915,10
320,4000,1800,3215,10
321,7675,4550,3115,10
322,5750,2025,2640,10
323,9150,3200,4715,10
325,8150,3475,3590,10
326,10300,4125,4490,10
328,3250,4425,2790,10
329,6725,1775,2340,10
33,9000,1550,3215,10
330,7550,1075,4790,10
331,7950,6125,5290,10
332,5850,6350,5065,10
333,4325,4025,5515,10
335,8125,4550,1390,10
337,6050,1250,3915,10
338,5900,3450,5590,10
339,10475,2125,4365,10
341,7925,5500,5490,10
342,5300,6075,4115,10
343,9200,4625,4690,10
344,6050,5050,1565,10
345,4650,3025,2290,10
347,6175,6300,5540,10
348,8875,4975,5565,10
35,9125,3800,5490,10
350,10325,4575,4665,10
351,5525,5250,4715,10
353,5700,2475,2115,10
354,11775,5900,4515,10
355,6700,4825,1865,10
356,7100,5750,4340,10
358,10275,4450,4840,10
36,4475,4525,1615,10
361,6725,950,3890,10
362,6800,3925,5240,10
363,3150,2800,5215,10
364,7550,5800,4565,10
366,6775,4925,5365,10
368,8400,4400,1390,10
369,5450,1675,3290,10
